generation,best_cost
0.0,-30.280999431859573
1.0,-32.77791657134424
2.0,-33.060557659077716
3.0,-33.99657346912702
4.0,-35.41228549257507
5.0,-35.41228549257507
6.0,-36.33439538256448
7.0,-36.5887047216416
8.0,-37.77629041839166
9.0,-38.351302260955286
10.0,-38.912305478943175
11.0,-39.106253649474915
12.0,-39.106253649474915
13.0,-39.106253649474915
14.0,-39.106253649474915
15.0,-39.26814079452897
16.0,-39.26814079452897
17.0,-39.38523030766803
18.0,-39.50565011079066
19.0,-39.60944355284087
20.0,-39.60944355284087
21.0,-39.60944355284087
22.0,-39.60944355284087
23.0,-39.60944355284087
24.0,-39.61540136796713
25.0,-39.61540136796713
26.0,-39.61540136796713
27.0,-39.61540136796713
