x_over_c,Cp
1.000000000000000000e+00,3.904541498856952675e-01
9.937106918238993725e-01,4.294649166476939284e-01
9.874213836477987449e-01,4.727374607794267991e-01
9.811320754716981174e-01,5.166136654834159181e-01
9.748427672955974899e-01,5.492405626161840360e-01
9.685534591194968623e-01,5.383585858442747618e-01
9.622641509433962348e-01,4.135173801128793070e-01
9.559748427672956073e-01,9.407835208563908314e-02
9.496855345911949797e-01,-3.398323562323886105e-01
9.433962264150943522e-01,-6.344706661396462000e-01
9.371069182389937247e-01,-7.182599509007265848e-01
9.308176100628930971e-01,-6.891385178544600087e-01
9.245283018867924696e-01,-6.253465779266089708e-01
9.182389937106918421e-01,-5.589991178732682808e-01
9.119496855345912145e-01,-4.997745162663889129e-01
9.056603773584905870e-01,-4.493477701763086696e-01
8.993710691823899595e-01,-4.069696823346005132e-01
8.930817610062893319e-01,-3.713553738378219116e-01
8.867924528301887044e-01,-3.412685363780763037e-01
8.805031446540880768e-01,-3.156687955107362331e-01
8.742138364779874493e-01,-2.937202358533836932e-01
8.679245283018868218e-01,-2.747616747103605039e-01
8.616352201257861942e-01,-2.582715399538104695e-01
8.553459119496855667e-01,-2.438370149833952727e-01
8.490566037735849392e-01,-2.311293377020406936e-01
8.427672955974843116e-01,-2.198847337626650411e-01
8.364779874213836841e-01,-2.098899014390513962e-01
8.301886792452830566e-01,-2.009709973675308792e-01
8.238993710691824290e-01,-1.929852607645237139e-01
8.176100628930818015e-01,-1.858146121877513046e-01
8.113207547169811740e-01,-1.793607296159094311e-01
8.050314465408805464e-01,-1.735412336396990884e-01
7.987421383647799189e-01,-1.682867098974965003e-01
7.924528301886792914e-01,-1.635383676996575719e-01
7.861635220125786638e-01,-1.592461855319557973e-01
7.798742138364780363e-01,-1.553674319328719466e-01
7.735849056603774088e-01,-1.518654779371697572e-01
7.672955974842767812e-01,-1.487088376671550360e-01
7.610062893081761537e-01,-1.458703887490517825e-01
7.547169811320755262e-01,-1.433267354809257821e-01
7.484276729559748986e-01,-1.410576861175869556e-01
7.421383647798742711e-01,-1.390458220125763145e-01
7.358490566037736436e-01,-1.372761412060701236e-01
7.295597484276730160e-01,-1.357357627611499584e-01
7.232704402515723885e-01,-1.344136810147478212e-01
7.169811320754717610e-01,-1.333005611331796736e-01
7.106918238993711334e-01,-1.323885691006034815e-01
7.044025157232705059e-01,-1.316712306372331831e-01
6.981132075471698784e-01,-1.311433146290721385e-01
6.918238993710692508e-01,-1.308007375175523901e-01
6.855345911949686233e-01,-1.306404857950729248e-01
6.792452830188679958e-01,-1.306605543190293428e-01
6.729559748427673682e-01,-1.308598986214859483e-01
6.666666666666667407e-01,-1.312383997769197563e-01
6.603773584905661131e-01,-1.317968407140830411e-01
6.540880503144654856e-01,-1.325368931340855649e-01
6.477987421383648581e-01,-1.334611144365274171e-01
6.415094339622642305e-01,-1.345729542680011992e-01
6.352201257861636030e-01,-1.358767705002243975e-01
