x_over_c,Cp
1.000000000000000000e+00,3.649619891862528887e-01
9.937106918238993725e-01,3.999239869395658786e-01
9.874213836477987449e-01,4.369927363312251511e-01
9.811320754716981174e-01,4.711329797062180358e-01
9.748427672955974899e-01,4.882042939116946201e-01
9.685534591194968623e-01,4.527187601455686661e-01
9.622641509433962348e-01,2.925548035432204985e-01
9.559748427672956073e-01,-6.329796461736192370e-02
9.496855345911949797e-01,-5.086630902350128824e-01
9.433962264150943522e-01,-7.816044923126379551e-01
9.371069182389937247e-01,-8.329766178228648066e-01
9.308176100628930971e-01,-7.767099220061088882e-01
9.245283018867924696e-01,-6.934957842559776875e-01
9.182389937106918421e-01,-6.136261730220180510e-01
9.119496855345912145e-01,-5.448248199147827098e-01
9.056603773584905870e-01,-4.874020485610186526e-01
8.993710691823899595e-01,-4.397367948378190228e-01
8.930817610062893319e-01,-3.999926207438067038e-01
8.867924528301887044e-01,-3.665788123265334431e-01
8.805031446540880768e-01,-3.382217537019565068e-01
8.742138364779874493e-01,-3.139279918129347369e-01
8.679245283018868218e-01,-2.929271866805525093e-01
8.616352201257861942e-01,-2.746202757855000787e-01
8.553459119496855667e-01,-2.585381668962474233e-01
8.490566037735849392e-01,-2.443103474175347678e-01
8.427672955974843116e-01,-2.316414378221156589e-01
8.364779874213836841e-01,-2.202937463846401656e-01
8.301886792452830566e-01,-2.100742544856051275e-01
8.238993710691824290e-01,-2.008248489934845171e-01
8.176100628930818015e-01,-1.924149353441919619e-01
8.113207547169811740e-01,-1.847358038868680552e-01
8.050314465408805464e-01,-1.776962959563723743e-01
7.987421383647799189e-01,-1.712194408835743253e-01
7.924528301886792914e-01,-1.652398242808910123e-01
7.861635220125786638e-01,-1.597015116977433813e-01
7.798742138364780363e-01,-1.545563975477652896e-01
7.735849056603774088e-01,-1.497628823200873871e-01
7.672955974842767812e-01,-1.452848051881587832e-01
7.610062893081761537e-01,-1.410905768046490927e-01
7.547169811320755262e-01,-1.371524701332564877e-01
7.484276729559748986e-01,-1.334460368961594146e-01
7.421383647798742711e-01,-1.299496245157267804e-01
7.358490566037736436e-01,-1.266439739477271953e-01
7.295597484276730160e-01,-1.235118830054124928e-01
7.232704402515723885e-01,-1.205379229958116749e-01
7.169811320754717610e-01,-1.177081989765094150e-01
7.106918238993711334e-01,-1.150101458730645732e-01
7.044025157232705059e-01,-1.124323542070677640e-01
6.981132075471698784e-01,-1.099644203716829693e-01
6.918238993710692508e-01,-1.075968173295414054e-01
6.855345911949686233e-01,-1.053207823529866971e-01
6.792452830188679958e-01,-1.031282190213924643e-01
6.729559748427673682e-01,-1.010116111669172589e-01
6.666666666666667407e-01,-9.896394684353682081e-02
6.603773584905661131e-01,-9.697865070360656148e-02
6.540880503144654856e-01,-9.504952341649008929e-02
6.477987421383648581e-01,-9.317068696641017667e-02
6.415094339622642305e-01,-9.133653483072912138e-02
6.352201257861636030e-01,-8.954168617237967531e-02
6.289308176100629755e-01,-8.778094328668117896e-02
6.226415094339623479e-01,-8.604925162760768131e-02
6.163522012578617204e-01,-8.434166180513624766e-02
6.100628930817610929e-01,-8.265329299616874792e-02
6.037735849056604653e-01,-8.097929724871466561e-02
5.974842767295597268e-01,-7.931482418400936929e-02
5.911949685534590992e-01,-7.765498561507433450e-02
5.849056603773584717e-01,-7.599481960360243704e-02
5.786163522012578442e-01,-7.432925347028107588e-02
5.723270440251572166e-01,-7.265306525683956629e-02
5.660377358490565891e-01,-7.096084311095007813e-02
5.597484276729559616e-01,-6.924694202713621571e-02
5.534591194968553340e-01,-6.750543732721125956e-02
5.471698113207547065e-01,-6.573007420141774304e-02
5.408805031446540790e-01,-6.391421255495921550e-02
5.345911949685534514e-01,-6.205076631225781014e-02
5.283018867924528239e-01,-6.013213622098501077e-02
5.220125786163521964e-01,-5.815013506724509007e-02
5.157232704402515688e-01,-5.609590405938069679e-02
5.094339622641509413e-01,-5.395981895757806512e-02
5.031446540880503138e-01,-5.173138431613577559e-02
4.968553459119496862e-01,-4.939911396119711640e-02
4.905660377358490587e-01,-4.695039554490776368e-02
4.842767295597484312e-01,-4.437133669368886757e-02
4.779874213836478036e-01,-4.164658990044212139e-02
4.716981132075471761e-01,-3.875915289641618244e-02
